participant_id,order,phase,task,viewing_condition,difficulty
"1","69","test","cluster_distinction","ego","hard"
"1","70","test","cluster_distinction","ego","medium"
"1","71","test","cluster_distinction","ego","medium"
"1","72","test","cluster_distinction","ego","easy"
"2","1","training","cluster_distinction","ego","easy"
"2","2","training","cluster_distinction","ego","easy"
"2","3","training","cluster_distinction","ego","medium"
"2","4","test","cluster_distinction","ego","hard"
"2","5","test","cluster_distinction","ego","hard"
"2","6","test","cluster_distinction","ego","easy"
"2","7","test","cluster_distinction","ego","medium"
"2","8","test","cluster_distinction","ego","easy"
"2","9","test","cluster_distinction","ego","medium"
"2","10","test","cluster_distinction","ego","medium"
"2","11","test","cluster_distinction","ego","medium"
"2","12","test","cluster_distinction","ego","hard"
"2","13","test","cluster_distinction","ego","easy"
"2","14","test","cluster_distinction","ego","easy"
"2","15","test","cluster_distinction","ego","medium"
"2","16","test","cluster_distinction","ego","easy"
"2","17","test","cluster_distinction","ego","hard"
"2","18","test","cluster_distinction","ego","hard"
"2","19","training","cluster_distinction","exo","easy"
"2","20","training","cluster_distinction","exo","easy"
"2","21","training","cluster_distinction","exo","medium"
"2","22","test","cluster_distinction","exo","hard"
"2","23","test","cluster_distinction","exo","easy"
"2","24","test","cluster_distinction","exo","medium"
"2","25","test","cluster_distinction","exo","medium"
"2","26","test","cluster_distinction","exo","medium"
"2","27","test","cluster_distinction","exo","easy"
"2","28","test","cluster_distinction","exo","hard"
"2","29","test","cluster_distinction","exo","hard"
"2","30","test","cluster_distinction","exo","medium"
"2","31","test","cluster_distinction","exo","hard"
"2","32","test","cluster_distinction","exo","medium"
"2","33","test","cluster_distinction","exo","hard"
"2","34","test","cluster_distinction","exo","easy"
"2","35","test","cluster_distinction","exo","easy"
"2","36","test","cluster_distinction","exo","easy"
"2","37","training","denoising","ego","easy"
"2","38","training","denoising","ego","easy"
"2","39","training","denoising","ego","medium"
"2","40","test","denoising","ego","medium"
"2","41","test","denoising","ego","easy"
"2","42","test","denoising","ego","easy"
"2","43","test","denoising","ego","easy"
"2","44","test","denoising","ego","hard"
"2","45","test","denoising","ego","hard"
"2","46","test","denoising","ego","hard"
"2","47","test","denoising","ego","hard"
"2","48","test","denoising","ego","hard"
"2","49","test","denoising","ego","medium"
"2","50","test","denoising","ego","medium"
"2","51","test","denoising","ego","medium"
"2","52","test","denoising","ego","easy"
"2","53","test","denoising","ego","medium"
"2","54","test","denoising","ego","easy"
"2","55","training","denoising","exo","easy"
"2","56","training","denoising","exo","easy"
"2","57","training","denoising","exo","medium"
"2","58","test","denoising","exo","hard"
"2","59","test","denoising","exo","medium"
"2","60","test","denoising","exo","easy"
"2","61","test","denoising","exo","easy"
"2","62","test","denoising","exo","easy"
"2","63","test","denoising","exo","hard"
"2","64","test","denoising","exo","medium"
"2","65","test","denoising","exo","hard"
"2","66","test","denoising","exo","medium"
"2","67","test","denoising","exo","medium"
"2","68","test","denoising","exo","hard"
"2","69","test","denoising","exo","easy"
"2","70","test","denoising","exo","hard"
"2","71","test","denoising","exo","easy"
"2","72","test","denoising","exo","medium"
"3","1","training","denoising","ego","easy"
"3","2","training","denoising","ego","easy"
"3","3","training","denoising","ego","medium"
"3","4","test","denoising","ego","easy"
"3","5","test","denoising","ego","medium"
"3","6","test","denoising","ego","medium"
"3","7","test","denoising","ego","hard"
"3","8","test","denoising","ego","easy"
"3","9","test","denoising","ego","easy"
"3","10","test","denoising","ego","easy"
"3","11","test","denoising","ego","medium"
"3","12","test","denoising","ego","hard"
"3","13","test","denoising","ego","hard"
"3","14","test","denoising","ego","medium"
"3","15","test","denoising","ego","hard"
"3","16","test","denoising","ego","easy"
"3","17","test","denoising","ego","medium"
"3","18","test","denoising","ego","hard"
"3","19","training","denoising","exo","easy"
"3","20","training","denoising","exo","easy"
"3","21","training","denoising","exo","medium"
"3","22","test","denoising","exo","medium"
"3","23","test","denoising","exo","easy"
"3","24","test","denoising","exo","medium"
"3","25","test","denoising","exo","medium"
"3","26","test","denoising","exo","hard"
"3","27","test","denoising","exo","hard"
"3","28","test","denoising","exo","hard"
"3","29","test","denoising","exo","easy"
"3","30","test","denoising","exo","easy"
"3","31","test","denoising","exo","hard"
"3","32","test","denoising","exo","easy"
"3","33","test","denoising","exo","hard"
"3","34","test","denoising","exo","medium"
"3","35","test","denoising","exo","medium"
"3","36","test","denoising","exo","easy"
"3","37","training","cluster_distinction","ego","easy"
"3","38","training","cluster_distinction","ego","easy"
"3","39","training","cluster_distinction","ego","medium"
"3","40","test","cluster_distinction","ego","easy"
"3","41","test","cluster_distinction","ego","hard"
"3","42","test","cluster_distinction","ego","hard"
"3","43","test","cluster_distinction","ego","easy"
"3","44","test","cluster_distinction","ego","hard"
"3","45","test","cluster_distinction","ego","hard"
"3","46","test","cluster_distinction","ego","medium"
"3","47","test","cluster_distinction","ego","easy"
"3","48","test","cluster_distinction","ego","medium"
"3","49","test","cluster_distinction","ego","hard"
"3","50","test","cluster_distinction","ego","medium"
"3","51","test","cluster_distinction","ego","medium"
"3","52","test","cluster_distinction","ego","easy"
"3","53","test","cluster_distinction","ego","easy"
"3","54","test","cluster_distinction","ego","medium"
"3","55","training","cluster_distinction","exo","easy"
"3","56","training","cluster_distinction","exo","easy"
"3","57","training","cluster_distinction","exo","medium"
"3","58","test","cluster_distinction","exo","medium"
"3","59","test","cluster_distinction","exo","easy"
"3","60","test","cluster_distinction","exo","hard"
"3","61","test","cluster_distinction","exo","medium"
"3","62","test","cluster_distinction","exo","easy"
"3","63","test","cluster_distinction","exo","hard"
"3","64","test","cluster_distinction","exo","easy"
"3","65","test","cluster_distinction","exo","medium"
"3","66","test","cluster_distinction","exo","hard"
"3","67","test","cluster_distinction","exo","medium"
"3","68","test","cluster_distinction","exo","medium"
"3","69","test","cluster_distinction","exo","easy"
"3","70","test","cluster_distinction","exo","easy"
"3","71","test","cluster_distinction","exo","hard"
"3","72","test","cluster_distinction","exo","hard"
"4","1","training","cluster_distinction","exo","easy"
"4","2","training","cluster_distinction","exo","easy"
"4","3","training","cluster_distinction","exo","medium"
"4","4","test","cluster_distinction","exo","easy"
"4","5","test","cluster_distinction","exo","medium"
"4","6","test","cluster_distinction","exo","easy"
"4","7","test","cluster_distinction","exo","hard"
"4","8","test","cluster_distinction","exo","easy"
"4","9","test","cluster_distinction","exo","hard"
"4","10","test","cluster_distinction","exo","easy"
"4","11","test","cluster_distinction","exo","medium"
"4","12","test","cluster_distinction","exo","easy"
"4","13","test","cluster_distinction","exo","hard"
"4","14","test","cluster_distinction","exo","medium"
"4","15","test","cluster_distinction","exo","hard"
"4","16","test","cluster_distinction","exo","medium"
"4","17","test","cluster_distinction","exo","hard"
"4","18","test","cluster_distinction","exo","medium"
"4","19","training","cluster_distinction","ego","easy"
"4","20","training","cluster_distinction","ego","easy"
"4","21","training","cluster_distinction","ego","medium"
"4","22","test","cluster_distinction","ego","hard"
"4","23","test","cluster_distinction","ego","easy"
"4","24","test","cluster_distinction","ego","easy"
"4","25","test","cluster_distinction","ego","hard"
"4","26","test","cluster_distinction","ego","hard"
"4","27","test","cluster_distinction","ego","easy"
"4","28","test","cluster_distinction","ego","medium"
"4","29","test","cluster_distinction","ego","medium"
"4","30","test","cluster_distinction","ego","hard"
"4","31","test","cluster_distinction","ego","medium"
"4","32","test","cluster_distinction","ego","hard"
"4","33","test","cluster_distinction","ego","easy"
"4","34","test","cluster_distinction","ego","medium"
"4","35","test","cluster_distinction","ego","easy"
"4","36","test","cluster_distinction","ego","medium"
"4","37","training","denoising","exo","easy"
"4","38","training","denoising","exo","easy"
"4","39","training","denoising","exo","medium"
"4","40","test","denoising","exo","hard"
"4","41","test","denoising","exo","hard"
"4","42","test","denoising","exo","medium"
"4","43","test","denoising","exo","medium"
"4","44","test","denoising","exo","easy"
"4","45","test","denoising","exo","hard"
"4","46","test","denoising","exo","easy"
"4","47","test","denoising","exo","easy"
"4","48","test","denoising","exo","easy"
"4","49","test","denoising","exo","easy"
"4","50","test","denoising","exo","medium"
"4","51","test","denoising","exo","medium"
"4","52","test","denoising","exo","hard"
"4","53","test","denoising","exo","hard"
"4","54","test","denoising","exo","medium"
"4","55","training","denoising","ego","easy"
"4","56","training","denoising","ego","easy"
"4","57","training","denoising","ego","medium"
"4","58","test","denoising","ego","medium"
"4","59","test","denoising","ego","easy"
"4","60","test","denoising","ego","hard"
"4","61","test","denoising","ego","medium"
"4","62","test","denoising","ego","hard"
"4","63","test","denoising","ego","easy"
"4","64","test","denoising","ego","medium"
"4","65","test","denoising","ego","hard"
"4","66","test","denoising","ego","medium"
"4","67","test","denoising","ego","hard"
"4","68","test","denoising","ego","easy"
"4","69","test","denoising","ego","medium"
"4","70","test","denoising","ego","easy"
"4","71","test","denoising","ego","hard"
"4","72","test","denoising","ego","easy"
"5","1","training","denoising","exo","easy"
"5","2","training","denoising","exo","easy"
"5","3","training","denoising","exo","medium"
"5","4","test","denoising","exo","easy"
"5","5","test","denoising","exo","easy"
"5","6","test","denoising","exo","hard"
"5","7","test","denoising","exo","medium"
"5","8","test","denoising","exo","easy"
"5","9","test","denoising","exo","hard"
"5","10","test","denoising","exo","medium"
"5","11","test","denoising","exo","medium"
"5","12","test","denoising","exo","easy"
"5","13","test","denoising","exo","easy"
"5","14","test","denoising","exo","hard"
"5","15","test","denoising","exo","hard"
"5","16","test","denoising","exo","medium"
"5","17","test","denoising","exo","hard"
"5","18","test","denoising","exo","medium"
"5","19","training","denoising","ego","easy"
"5","20","training","denoising","ego","easy"
"5","21","training","denoising","ego","medium"
"5","22","test","denoising","ego","medium"
"5","23","test","denoising","ego","hard"
"5","24","test","denoising","ego","easy"
"5","25","test","denoising","ego","easy"
"5","26","test","denoising","ego","easy"
"5","27","test","denoising","ego","medium"
"5","28","test","denoising","ego","hard"
"5","29","test","denoising","ego","easy"
"5","30","test","denoising","ego","hard"
"5","31","test","denoising","ego","medium"
"5","32","test","denoising","ego","hard"
"5","33","test","denoising","ego","medium"
"5","34","test","denoising","ego","medium"
"5","35","test","denoising","ego","hard"
"5","36","test","denoising","ego","easy"
"5","37","training","cluster_distinction","exo","easy"
"5","38","training","cluster_distinction","exo","easy"
"5","39","training","cluster_distinction","exo","medium"
"5","40","test","cluster_distinction","exo","easy"
"5","41","test","cluster_distinction","exo","easy"
"5","42","test","cluster_distinction","exo","easy"
"5","43","test","cluster_distinction","exo","hard"
"5","44","test","cluster_distinction","exo","medium"
"5","45","test","cluster_distinction","exo","medium"
"5","46","test","cluster_distinction","exo","hard"
"5","47","test","cluster_distinction","exo","medium"
"5","48","test","cluster_distinction","exo","hard"
"5","49","test","cluster_distinction","exo","medium"
"5","50","test","cluster_distinction","exo","medium"
"5","51","test","cluster_distinction","exo","hard"
"5","52","test","cluster_distinction","exo","hard"
"5","53","test","cluster_distinction","exo","easy"
"5","54","test","cluster_distinction","exo","easy"
"5","55","training","cluster_distinction","ego","easy"
"5","56","training","cluster_distinction","ego","easy"
"5","57","training","cluster_distinction","ego","medium"
"5","58","test","cluster_distinction","ego","hard"
"5","59","test","cluster_distinction","ego","medium"
"5","60","test","cluster_distinction","ego","easy"
"5","61","test","cluster_distinction","ego","hard"
"5","62","test","cluster_distinction","ego","hard"
"5","63","test","cluster_distinction","ego","hard"
"5","64","test","cluster_distinction","ego","easy"
"5","65","test","cluster_distinction","ego","medium"
"5","66","test","cluster_distinction","ego","easy"
"5","67","test","cluster_distinction","ego","medium"
"5","68","test","cluster_distinction","ego","medium"
"5","69","test","cluster_distinction","ego","easy"
"5","70","test","cluster_distinction","ego","medium"
"5","71","test","cluster_distinction","ego","easy"
"5","72","test","cluster_distinction","ego","hard"
"6","1","training","cluster_distinction","ego","easy"
"6","2","training","cluster_distinction","ego","easy"
"6","3","training","cluster_distinction","ego","medium"
"6","4","test","cluster_distinction","ego","easy"
"6","5","test","cluster_distinction","ego","easy"
"6","6","test","cluster_distinction","ego","hard"
"6","7","test","cluster_distinction","ego","hard"
"6","8","test","cluster_distinction","ego","medium"
"6","9","test","cluster_distinction","ego","easy"
"6","10","test","cluster_distinction","ego","medium"
"6","11","test","cluster_distinction","ego","easy"
"6","12","test","cluster_distinction","ego","hard"
"6","13","test","cluster_distinction","ego","hard"
"6","14","test","cluster_distinction","ego","hard"
"6","15","test","cluster_distinction","ego","medium"
"6","16","test","cluster_distinction","ego","easy"
"6","17","test","cluster_distinction","ego","medium"
"6","18","test","cluster_distinction","ego","medium"
"6","19","training","cluster_distinction","exo","easy"
"6","20","training","cluster_distinction","exo","easy"
"6","21","training","cluster_distinction","exo","medium"
"6","22","test","cluster_distinction","exo","medium"
"6","23","test","cluster_distinction","exo","easy"
"6","24","test","cluster_distinction","exo","easy"
"6","25","test","cluster_distinction","exo","hard"
"6","26","test","cluster_distinction","exo","hard"
"6","27","test","cluster_distinction","exo","hard"
"6","28","test","cluster_distinction","exo","easy"
"6","29","test","cluster_distinction","exo","easy"
"6","30","test","cluster_distinction","exo","medium"
"6","31","test","cluster_distinction","exo","hard"
"6","32","test","cluster_distinction","exo","medium"
"6","33","test","cluster_distinction","exo","hard"
"6","34","test","cluster_distinction","exo","easy"
"6","35","test","cluster_distinction","exo","medium"
"6","36","test","cluster_distinction","exo","medium"
"6","37","training","denoising","ego","easy"
"6","38","training","denoising","ego","easy"
"6","39","training","denoising","ego","medium"
"6","40","test","denoising","ego","easy"
"6","41","test","denoising","ego","hard"
"6","42","test","denoising","ego","easy"
"6","43","test","denoising","ego","hard"
"6","44","test","denoising","ego","easy"
"6","45","test","denoising","ego","medium"
"6","46","test","denoising","ego","hard"
"6","47","test","denoising","ego","medium"
"6","48","test","denoising","ego","hard"
"6","49","test","denoising","ego","medium"
"6","50","test","denoising","ego","medium"
"6","51","test","denoising","ego","medium"
"6","52","test","denoising","ego","easy"
"6","53","test","denoising","ego","easy"
"6","54","test","denoising","ego","hard"
"6","55","training","denoising","exo","easy"
"6","56","training","denoising","exo","easy"
"6","57","training","denoising","exo","medium"
"6","58","test","denoising","exo","medium"
"6","59","test","denoising","exo","easy"
"6","60","test","denoising","exo","easy"
"6","61","test","denoising","exo","hard"
"6","62","test","denoising","exo","medium"
"6","63","test","denoising","exo","hard"
"6","64","test","denoising","exo","medium"
"6","65","test","denoising","exo","hard"
"6","66","test","denoising","exo","hard"
"6","67","test","denoising","exo","medium"
"6","68","test","denoising","exo","easy"
"6","69","test","denoising","exo","hard"
"6","70","test","denoising","exo","medium"
"6","71","test","denoising","exo","easy"
"6","72","test","denoising","exo","easy"
"7","1","training","denoising","ego","easy"
"7","2","training","denoising","ego","easy"
"7","3","training","denoising","ego","medium"
"7","4","test","denoising","ego","medium"
"7","5","test","denoising","ego","easy"
"7","6","test","denoising","ego","easy"
"7","7","test","denoising","ego","medium"
"7","8","test","denoising","ego","hard"
"7","9","test","denoising","ego","easy"
"7","10","test","denoising","ego","medium"
"7","11","test","denoising","ego","easy"
"7","12","test","denoising","ego","easy"
"7","13","test","denoising","ego","hard"
"7","14","test","denoising","ego","medium"
"7","15","test","denoising","ego","hard"
"7","16","test","denoising","ego","medium"
"7","17","test","denoising","ego","hard"
"7","18","test","denoising","ego","hard"
"7","19","training","denoising","exo","easy"
"7","20","training","denoising","exo","easy"
"7","21","training","denoising","exo","medium"
"7","22","test","denoising","exo","easy"
"7","23","test","denoising","exo","medium"
"7","24","test","denoising","exo","hard"
"7","25","test","denoising","exo","hard"
"7","26","test","denoising","exo","medium"
"7","27","test","denoising","exo","medium"
"7","28","test","denoising","exo","hard"
"7","29","test","denoising","exo","hard"
"7","30","test","denoising","exo","easy"
"7","31","test","denoising","exo","hard"
"7","32","test","denoising","exo","medium"
"7","33","test","denoising","exo","medium"
"7","34","test","denoising","exo","easy"
"7","35","test","denoising","exo","easy"
"7","36","test","denoising","exo","easy"
"7","37","training","cluster_distinction","ego","easy"
"7","38","training","cluster_distinction","ego","easy"
"7","39","training","cluster_distinction","ego","medium"
"7","40","test","cluster_distinction","ego","medium"
"7","41","test","cluster_distinction","ego","medium"
"7","42","test","cluster_distinction","ego","medium"
"7","43","test","cluster_distinction","ego","easy"
"7","44","test","cluster_distinction","ego","easy"
"7","45","test","cluster_distinction","ego","hard"
"7","46","test","cluster_distinction","ego","hard"
"7","47","test","cluster_distinction","ego","medium"
"7","48","test","cluster_distinction","ego","medium"
"7","49","test","cluster_distinction","ego","hard"
"7","50","test","cluster_distinction","ego","easy"
"7","51","test","cluster_distinction","ego","hard"
"7","52","test","cluster_distinction","ego","easy"
"7","53","test","cluster_distinction","ego","hard"
"7","54","test","cluster_distinction","ego","easy"
"7","55","training","cluster_distinction","exo","easy"
"7","56","training","cluster_distinction","exo","easy"
"7","57","training","cluster_distinction","exo","medium"
"7","58","test","cluster_distinction","exo","hard"
"7","59","test","cluster_distinction","exo","easy"
"7","60","test","cluster_distinction","exo","medium"
"7","61","test","cluster_distinction","exo","hard"
"7","62","test","cluster_distinction","exo","medium"
"7","63","test","cluster_distinction","exo","medium"
"7","64","test","cluster_distinction","exo","hard"
"7","65","test","cluster_distinction","exo","medium"
"7","66","test","cluster_distinction","exo","easy"
"7","67","test","cluster_distinction","exo","hard"
"7","68","test","cluster_distinction","exo","medium"
"7","69","test","cluster_distinction","exo","hard"
"7","70","test","cluster_distinction","exo","easy"
"7","71","test","cluster_distinction","exo","easy"
"7","72","test","cluster_distinction","exo","easy"
"8","1","training","cluster_distinction","exo","easy"
"8","2","training","cluster_distinction","exo","easy"
"8","3","training","cluster_distinction","exo","medium"
"8","4","test","cluster_distinction","exo","hard"
"8","5","test","cluster_distinction","exo","medium"
"8","6","test","cluster_distinction","exo","hard"
"8","7","test","cluster_distinction","exo","easy"
"8","8","test","cluster_distinction","exo","medium"
"8","9","test","cluster_distinction","exo","medium"
"8","10","test","cluster_distinction","exo","hard"
"8","11","test","cluster_distinction","exo","hard"
"8","12","test","cluster_distinction","exo","easy"
"8","13","test","cluster_distinction","exo","hard"
"8","14","test","cluster_distinction","exo","easy"
"8","15","test","cluster_distinction","exo","easy"
"8","16","test","cluster_distinction","exo","medium"
"8","17","test","cluster_distinction","exo","medium"
"8","18","test","cluster_distinction","exo","easy"
"8","19","training","cluster_distinction","ego","easy"
"8","20","training","cluster_distinction","ego","easy"
"8","21","training","cluster_distinction","ego","medium"
"8","22","test","cluster_distinction","ego","medium"
"8","23","test","cluster_distinction","ego","medium"
"8","24","test","cluster_distinction","ego","medium"
"8","25","test","cluster_distinction","ego","hard"
"8","26","test","cluster_distinction","ego","hard"
"8","27","test","cluster_distinction","ego","easy"
"8","28","test","cluster_distinction","ego","medium"
"8","29","test","cluster_distinction","ego","easy"
"8","30","test","cluster_distinction","ego","easy"
"8","31","test","cluster_distinction","ego","hard"
"8","32","test","cluster_distinction","ego","easy"
"8","33","test","cluster_distinction","ego","medium"
"8","34","test","cluster_distinction","ego","hard"
"8","35","test","cluster_distinction","ego","hard"
"8","36","test","cluster_distinction","ego","easy"
"8","37","training","denoising","exo","easy"
"8","38","training","denoising","exo","easy"
"8","39","training","denoising","exo","medium"
"8","40","test","denoising","exo","medium"
"8","41","test","denoising","exo","easy"
"8","42","test","denoising","exo","easy"
"8","43","test","denoising","exo","hard"
"8","44","test","denoising","exo","medium"
"8","45","test","denoising","exo","medium"
"8","46","test","denoising","exo","medium"
"8","47","test","denoising","exo","easy"
"8","48","test","denoising","exo","easy"
"8","49","test","denoising","exo","hard"
"8","50","test","denoising","exo","hard"
"8","51","test","denoising","exo","hard"
"8","52","test","denoising","exo","hard"
"8","53","test","denoising","exo","easy"
"8","54","test","denoising","exo","medium"
"8","55","training","denoising","ego","easy"
"8","56","training","denoising","ego","easy"
"8","57","training","denoising","ego","medium"
"8","58","test","denoising","ego","medium"
"8","59","test","denoising","ego","medium"
"8","60","test","denoising","ego","hard"
"8","61","test","denoising","ego","easy"
"8","62","test","denoising","ego","hard"
"8","63","test","denoising","ego","medium"
"8","64","test","denoising","ego","medium"
"8","65","test","denoising","ego","easy"
"8","66","test","denoising","ego","easy"
"8","67","test","denoising","ego","medium"
"8","68","test","denoising","ego","hard"
"8","69","test","denoising","ego","easy"
"8","70","test","denoising","ego","easy"
"8","71","test","denoising","ego","hard"
"8","72","test","denoising","ego","hard"
"9","1","training","denoising","exo","easy"
"9","2","training","denoising","exo","easy"
"9","3","training","denoising","exo","medium"
"9","4","test","denoising","exo","easy"
"9","5","test","denoising","exo","medium"
"9","6","test","denoising","exo","medium"
"9","7","test","denoising","exo","easy"
"9","8","test","denoising","exo","easy"
"9","9","test","denoising","exo","medium"
"9","10","test","denoising","exo","hard"
"9","11","test","denoising","exo","easy"
"9","12","test","denoising","exo","hard"
"9","13","test","denoising","exo","hard"
"9","14","test","denoising","exo","hard"
"9","15","test","denoising","exo","easy"
"9","16","test","denoising","exo","medium"
"9","17","test","denoising","exo","medium"
"9","18","test","denoising","exo","hard"
"9","19","training","denoising","ego","easy"
"9","20","training","denoising","ego","easy"
"9","21","training","denoising","ego","medium"
"9","22","test","denoising","ego","hard"
"9","23","test","denoising","ego","hard"
"9","24","test","denoising","ego","medium"
"9","25","test","denoising","ego","medium"
"9","26","test","denoising","ego","easy"
"9","27","test","denoising","ego","hard"
"9","28","test","denoising","ego","easy"
"9","29","test","denoising","ego","easy"
"9","30","test","denoising","ego","medium"
"9","31","test","denoising","ego","hard"
"9","32","test","denoising","ego","easy"
"9","33","test","denoising","ego","medium"
"9","34","test","denoising","ego","medium"
"9","35","test","denoising","ego","easy"
"9","36","test","denoising","ego","hard"
"9","37","training","cluster_distinction","exo","easy"
"9","38","training","cluster_distinction","exo","easy"
"9","39","training","cluster_distinction","exo","medium"
"9","40","test","cluster_distinction","exo","hard"
"9","41","test","cluster_distinction","exo","easy"
"9","42","test","cluster_distinction","exo","easy"
"9","43","test","cluster_distinction","exo","hard"
"9","44","test","cluster_distinction","exo","easy"
"9","45","test","cluster_distinction","exo","easy"
"9","46","test","cluster_distinction","exo","medium"
"9","47","test","cluster_distinction","exo","hard"
"9","48","test","cluster_distinction","exo","medium"
"9","49","test","cluster_distinction","exo","medium"
"9","50","test","cluster_distinction","exo","hard"
"9","51","test","cluster_distinction","exo","medium"
"9","52","test","cluster_distinction","exo","hard"
"9","53","test","cluster_distinction","exo","easy"
"9","54","test","cluster_distinction","exo","medium"
"9","55","training","cluster_distinction","ego","easy"
"9","56","training","cluster_distinction","ego","easy"
"9","57","training","cluster_distinction","ego","medium"
"9","58","test","cluster_distinction","ego","medium"
"9","59","test","cluster_distinction","ego","easy"
"9","60","test","cluster_distinction","ego","hard"
"9","61","test","cluster_distinction","ego","medium"
"9","62","test","cluster_distinction","ego","easy"
"9","63","test","cluster_distinction","ego","hard"
"9","64","test","cluster_distinction","ego","hard"
"9","65","test","cluster_distinction","ego","medium"
"9","66","test","cluster_distinction","ego","easy"
"9","67","test","cluster_distinction","ego","medium"
"9","68","test","cluster_distinction","ego","hard"
"9","69","test","cluster_distinction","ego","easy"
"9","70","test","cluster_distinction","ego","medium"
"9","71","test","cluster_distinction","ego","easy"
"9","72","test","cluster_distinction","ego","hard"
"10","1","training","cluster_distinction","ego","easy"
"10","2","training","cluster_distinction","ego","easy"
"10","3","training","cluster_distinction","ego","medium"
"10","4","test","cluster_distinction","ego","medium"
"10","5","test","cluster_distinction","ego","medium"
"10","6","test","cluster_distinction","ego","hard"
"10","7","test","cluster_distinction","ego","medium"
"10","8","test","cluster_distinction","ego","hard"
"10","9","test","cluster_distinction","ego","easy"
"10","10","test","cluster_distinction","ego","easy"
"10","11","test","cluster_distinction","ego","hard"
"10","12","test","cluster_distinction","ego","easy"
"10","13","test","cluster_distinction","ego","medium"
"10","14","test","cluster_distinction","ego","medium"
"10","15","test","cluster_distinction","ego","easy"
"10","16","test","cluster_distinction","ego","hard"
"10","17","test","cluster_distinction","ego","easy"
"10","18","test","cluster_distinction","ego","hard"
"10","19","training","cluster_distinction","exo","easy"
"10","20","training","cluster_distinction","exo","easy"
"10","21","training","cluster_distinction","exo","medium"
"10","22","test","cluster_distinction","exo","hard"
"10","23","test","cluster_distinction","exo","medium"
"10","24","test","cluster_distinction","exo","medium"
"10","25","test","cluster_distinction","exo","easy"
"10","26","test","cluster_distinction","exo","hard"
"10","27","test","cluster_distinction","exo","medium"
"10","28","test","cluster_distinction","exo","medium"
"10","29","test","cluster_distinction","exo","medium"
"10","30","test","cluster_distinction","exo","easy"
"10","31","test","cluster_distinction","exo","easy"
"10","32","test","cluster_distinction","exo","easy"
"10","33","test","cluster_distinction","exo","easy"
"10","34","test","cluster_distinction","exo","hard"
"10","35","test","cluster_distinction","exo","hard"
"10","36","test","cluster_distinction","exo","hard"
"10","37","training","denoising","ego","easy"
"10","38","training","denoising","ego","easy"
"10","39","training","denoising","ego","medium"
"10","40","test","denoising","ego","medium"
"10","41","test","denoising","ego","hard"
"10","42","test","denoising","ego","hard"
"10","43","test","denoising","ego","medium"
"10","44","test","denoising","ego","medium"
"10","45","test","denoising","ego","hard"
"10","46","test","denoising","ego","hard"
"10","47","test","denoising","ego","easy"
